Metric,Value
design__instance__count,22576
design__instance__area,161222
design__instance_unmapped__count,0
synthesis__check_error__count,64
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4360
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,129
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003811383619904518
power__switching__total,0.008612072095274925
power__leakage__total,1.8593675576994428E-7
power__total,0.012423641979694366
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.15553089811827184
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5771453478489816
timing__hold__ws__corner:nom_tt_025C_1v80,1.6547601535172034
timing__setup__ws__corner:nom_tt_025C_1v80,2.2530506986689205
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.134138
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5965
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,129
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2623
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.3418596891220012
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.8418597168775775
timing__hold__ws__corner:nom_ss_100C_1v60,0.4852209882339671
timing__setup__ws__corner:nom_ss_100C_1v60,-0.09636558490602906
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2.4399940536453117
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.09636558490602906
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
