net,length_um
clk,2.20191mm
clknet_4_3_0_clk_regs,1.60516mm
de.rd1_e\[23\],1.590155mm
net241,1.56875mm
de.rd2_e\[14\],1.56398mm
de.rd2_e\[5\],1.52246mm
de.rd1_e\[30\],1.51838mm
de.rd2_e\[24\],1.50018mm
de.rd1_e\[15\],1.49226mm
de.rd1_e\[5\],1.48028mm
de.rd1_e\[18\],1.47324mm
de.rd1_e\[1\],1.469715mm
de.rd2_e\[22\],1.45866mm
_07461_,1.447825mm
de.rd1_e\[25\],1.4459mm
de.rd1_e\[26\],1.419775mm
de.rd2_e\[29\],1.414755mm
de.rd1_e\[28\],1.413175mm
de.rd1_e\[29\],1.40725mm
_01348_,1.406855mm
de.rd1_e\[6\],1.39596mm
de.rd1_e\[24\],1.39388mm
de.rd2_e\[23\],1.38622mm
_01352_,1.38416mm
_01354_,1.354925mm
de.rd2_e\[26\],1.35489mm
decode_stage.imex.instr\[19\],1.33724mm
de.rd2_e\[19\],1.33348mm
clknet_4_6_0_clk_regs,1.33316mm
_01394_,1.30104mm
_01349_,1.29132mm
de.rd2_e\[27\],1.27687mm
decode_stage.rd_w\[4\],1.27455mm
_01395_,1.24156mm
decode_stage.rf.rf1_index2\[2\],1.20975mm
_01361_,1.184825mm
_04814_,1.13002mm
_04998_,1.117325mm
_04975_,1.10181mm
_04981_,1.089075mm
_04980_,1.08263mm
_04977_,1.07846mm
_04476_,1.07823mm
_05002_,1.07185mm
_04966_,1.06334mm
_04982_,1.062585mm
_04404_,1.060615mm
_04979_,1.059035mm
net257,1.054505mm
_04971_,1.0522mm
_04983_,1.046225mm
_04943_,1.04096mm
_04618_,1.03914mm
decode_stage.rf.rf1_index2\[3\],1.03547mm
_04984_,1.032195mm
_05006_,1.03008mm
_04969_,1.02911mm
_04978_,1.024895mm
_04945_,1.02271mm
_05008_,1.013495mm
_05003_,1.012515mm
_04953_,1.009015mm
_04947_,1.004945mm
_07347_,1.000995mm
de.rd2_e\[31\],999.255µm
_04970_,998.82µm
net227,997.21µm
net239,996.75µm
_05005_,996.25µm
_07208_,996.01µm
_04549_,993.235µm
net113,989.82µm
_04972_,986.515µm
_04957_,979.44µm
_07278_,978.325µm
_05007_,971.575µm
_04964_,970.055µm
de.rd1_e\[7\],963.57µm
net231,962.435µm
_05001_,949.965µm
_04967_,948.29µm
net258,946.175µm
_05004_,946.03µm
net102,945.475µm
_04955_,941.825µm
net116,941.66µm
_04973_,940.75µm
_04949_,940.09µm
