Instance,Terminal,Layer,X location,Y location,Voltage
decode_stage.rf.tgrp_rf2,VGND,li1,775.9800,776.0800,0.000000
decode_stage.rf.tgrp_rf1,VGND,li1,275.9800,776.0800,0.000000
FILLER_418_2477,VGND,li1,1145.1700,1147.8400,0.000000
FILLER_418_2465,VGND,li1,1142.1800,1147.8400,0.000000
FILLER_418_2461,VGND,li1,1138.2700,1147.8400,0.000000
FILLER_418_2449,VGND,li1,1134.8200,1147.8400,0.000000
FILLER_418_2437,VGND,li1,1129.3000,1147.8400,0.000000
FILLER_418_2433,VGND,li1,1125.3900,1147.8400,0.000000
FILLER_418_2421,VGND,li1,1121.9400,1147.8400,0.000000
FILLER_418_2409,VGND,li1,1116.4200,1147.8400,0.000000
FILLER_418_2405,VGND,li1,1112.5100,1147.8400,0.000000
FILLER_418_2393,VGND,li1,1109.0600,1147.8400,0.000000
FILLER_418_2381,VGND,li1,1103.5400,1147.8400,0.000000
FILLER_418_2377,VGND,li1,1099.6300,1147.8400,0.000000
FILLER_418_2365,VGND,li1,1096.1800,1147.8400,0.000000
FILLER_418_2353,VGND,li1,1090.6600,1147.8400,0.000000
FILLER_418_2349,VGND,li1,1086.7500,1147.8400,0.000000
FILLER_418_2337,VGND,li1,1083.3000,1147.8400,0.000000
FILLER_418_2325,VGND,li1,1077.7800,1147.8400,0.000000
FILLER_418_2321,VGND,li1,1073.8700,1147.8400,0.000000
FILLER_418_2309,VGND,li1,1070.4200,1147.8400,0.000000
FILLER_418_2297,VGND,li1,1064.9000,1147.8400,0.000000
FILLER_418_2293,VGND,li1,1060.9900,1147.8400,0.000000
FILLER_418_2281,VGND,li1,1057.5400,1147.8400,0.000000
FILLER_418_2269,VGND,li1,1052.0200,1147.8400,0.000000
FILLER_418_2265,VGND,li1,1048.1100,1147.8400,0.000000
FILLER_418_2253,VGND,li1,1044.6600,1147.8400,0.000000
FILLER_418_2241,VGND,li1,1039.1400,1147.8400,0.000000
FILLER_418_2237,VGND,li1,1035.2300,1147.8400,0.000000
FILLER_418_2225,VGND,li1,1031.7800,1147.8400,0.000000
