Instance,Terminal,Layer,X location,Y location,Voltage
decode_stage.rf.tgrp_rf2,VPWR,li1,772.6800,776.0800,1.800000
decode_stage.rf.tgrp_rf1,VPWR,li1,272.6800,776.0800,1.800000
FILLER_418_2477,VPWR,li1,1145.1700,1150.5600,1.800000
FILLER_418_2465,VPWR,li1,1142.1800,1150.5600,1.800000
FILLER_418_2461,VPWR,li1,1138.2700,1150.5600,1.800000
FILLER_418_2449,VPWR,li1,1134.8200,1150.5600,1.800000
FILLER_418_2437,VPWR,li1,1129.3000,1150.5600,1.800000
FILLER_418_2433,VPWR,li1,1125.3900,1150.5600,1.800000
FILLER_418_2421,VPWR,li1,1121.9400,1150.5600,1.800000
FILLER_418_2409,VPWR,li1,1116.4200,1150.5600,1.800000
FILLER_418_2405,VPWR,li1,1112.5100,1150.5600,1.800000
FILLER_418_2393,VPWR,li1,1109.0600,1150.5600,1.800000
FILLER_418_2381,VPWR,li1,1103.5400,1150.5600,1.800000
FILLER_418_2377,VPWR,li1,1099.6300,1150.5600,1.800000
FILLER_418_2365,VPWR,li1,1096.1800,1150.5600,1.800000
FILLER_418_2353,VPWR,li1,1090.6600,1150.5600,1.800000
FILLER_418_2349,VPWR,li1,1086.7500,1150.5600,1.800000
FILLER_418_2337,VPWR,li1,1083.3000,1150.5600,1.800000
FILLER_418_2325,VPWR,li1,1077.7800,1150.5600,1.800000
FILLER_418_2321,VPWR,li1,1073.8700,1150.5600,1.800000
FILLER_418_2309,VPWR,li1,1070.4200,1150.5600,1.800000
FILLER_418_2297,VPWR,li1,1064.9000,1150.5600,1.800000
FILLER_418_2293,VPWR,li1,1060.9900,1150.5600,1.800000
FILLER_418_2281,VPWR,li1,1057.5400,1150.5600,1.800000
FILLER_418_2269,VPWR,li1,1052.0200,1150.5600,1.800000
FILLER_418_2265,VPWR,li1,1048.1100,1150.5600,1.800000
FILLER_418_2253,VPWR,li1,1044.6600,1150.5600,1.800000
FILLER_418_2241,VPWR,li1,1039.1400,1150.5600,1.800000
FILLER_418_2237,VPWR,li1,1035.2300,1150.5600,1.800000
FILLER_418_2225,VPWR,li1,1031.7800,1150.5600,1.800000
FILLER_418_2213,VPWR,li1,1026.2600,1150.5600,1.800000
FILLER_418_2209,VPWR,li1,1022.3500,1150.5600,1.800000
FILLER_418_2197,VPWR,li1,1018.9000,1150.5600,1.800000
FILLER_418_2185,VPWR,li1,1013.3800,1150.5600,1.800000
FILLER_418_2181,VPWR,li1,1009.4700,1150.5600,1.800000
FILLER_418_2169,VPWR,li1,1006.0200,1150.5600,1.800000
FILLER_418_2157,VPWR,li1,1000.5000,1150.5600,1.800000
FILLER_418_2153,VPWR,li1,996.5900,1150.5600,1.800000
FILLER_418_2141,VPWR,li1,993.1400,1150.5600,1.800000
FILLER_418_2129,VPWR,li1,987.6200,1150.5600,1.800000
FILLER_418_2125,VPWR,li1,983.7100,1150.5600,1.800000
FILLER_418_2113,VPWR,li1,980.2600,1150.5600,1.800000
FILLER_418_2101,VPWR,li1,974.7400,1150.5600,1.800000
FILLER_418_2097,VPWR,li1,970.8300,1150.5600,1.800000
FILLER_418_2085,VPWR,li1,967.3800,1150.5600,1.800000
FILLER_418_2073,VPWR,li1,961.8600,1150.5600,1.800000
FILLER_418_2069,VPWR,li1,957.9500,1150.5600,1.800000
FILLER_418_2057,VPWR,li1,954.5000,1150.5600,1.800000
FILLER_418_2045,VPWR,li1,948.9800,1150.5600,1.800000
FILLER_418_2041,VPWR,li1,945.0700,1150.5600,1.800000
FILLER_418_2029,VPWR,li1,941.6200,1150.5600,1.800000
FILLER_418_2017,VPWR,li1,936.1000,1150.5600,1.800000
FILLER_418_2013,VPWR,li1,932.1900,1150.5600,1.800000
FILLER_418_2001,VPWR,li1,928.7400,1150.5600,1.800000
